"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Kenedy","74.34","93.05","4.08","1.68","0.72","0","0.48"
"Kent","19.92","93.58","1.57","1.57","0","0.13","3.15"
"Kerr","26.84","94.04","1.88","1.17","1.04","0.1","1.76"
"Kimble","24.58","96.55","0.61","1.29","0.82","0.09","0.63"
"King","18.24","96.62","0","1.35","0","0","2.03"
"Kinney","59.55","94.1","2.03","1.5","0.4","0.21","1.76"
"Kleberg","72.89","90.64","4.37","0.89","2.31","0.18","1.61"
"Knox","34.61","90.16","5.93","1.27","0.3","0.03","2.32"
"La Salle","86.43","96.9","1.33","0.75","0.37","0.03","0.62"
"Lamar","7.86","81.2","13.24","1.76","0.82","0.05","2.94"
"Lamb","56.05","91.26","4.8","1.76","0.44","0.1","1.64"
"Lampasas","20.04","90.07","4.11","1.23","1.36","0.34","2.88"
"Lavaca","18.82","90.62","6.76","0.63","0.51","0.08","1.4"
"Lee","23.45","85.15","11.21","1.07","0.56","0.22","1.79"
"Leon","14.55","89.54","7.27","0.9","0.74","0.02","1.53"
"Liberty","24.78","86.31","10.22","1.09","0.65","0.09","1.64"
"Limestone","22.38","78.6","17.69","1.17","0.71","0.08","1.75"
